Hotel_Address,Hotel_lat,Hotel_lng
Vijzelstraat 49 Amsterdam City Center 1017 HE Amsterdam Netherlands,52.365823,4.893243
Ijburglaan 539 Zeeburg 1087 BE Amsterdam Netherlands,52.3588806,4.9886041
Eerste Constantijn huygensstraat 26G Oud West 1054 BR Amsterdam Netherlands,52.364962,4.873495
Herengracht 341 Amsterdam City Center 1016 AZ Amsterdam Netherlands,52.369391,4.8871721
Weteringschans 251 Amsterdam City Center 1017 XJ Amsterdam Netherlands,52.3594783,4.895853
Stadhouderskade 12 Oud West 1054 ES Amsterdam Netherlands,52.362514,4.8800077
Prinsengracht 587 Amsterdam City Center 1067 HT Amsterdam Netherlands,52.3678368,4.8830788
Apollolaan 2 Oud Zuid 1077 BA Amsterdam Netherlands,52.3486098,4.8844292
Apollolaan 123 125 Oud Zuid 1077 AP Amsterdam Netherlands,52.350396,4.8756404
Prins Hendrikkade 33 Amsterdam City Center 1012 TM Amsterdam Netherlands,52.377743,4.897057
Herengracht 519 525 Amsterdam City Center 1017 BV Amsterdam Netherlands,52.3653868,4.8931979
Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands,52.3793659,4.8457179
Apollolaan 101 105 Oud Zuid 1077 AN Amsterdam Netherlands,52.3504558,4.8770194
Slotermeerlaan 80 Geuzenveld Slotermeer 1064 HD Amsterdam Netherlands,52.3786823,4.8207833
Delflandlaan 15 Slotervaart 1062 EA Amsterdam Netherlands,52.3511137,4.8411629
Dijsselhofplantsoen 7 Oud Zuid 1077 BJ Amsterdam Netherlands,52.3511447,4.8740764
Jan Luykenstraat 58 Oud Zuid 1071 CS Amsterdam Netherlands,52.3599196,4.8810128
Westeinde 26 Amsterdam City Center 1017 ZP Amsterdam Netherlands,52.3583821,4.8988777
Keizersgracht 148 Amsterdam City Center 1015 CX Amsterdam Netherlands,52.3763099,4.8862701
Chassestraat 62 64 De Baarsjes 1057 JJ Amsterdam Netherlands,52.3696719,4.8614475
Prinses Irenestraat 30 Zuideramstel 1077 WX Amsterdam Netherlands,52.3419432,4.8759604
Van Baerlestraat 27 Oud Zuid 1071 AN Amsterdam Netherlands,52.358631,4.8786236
Aletta Jacobslaan 7 Slotervaart 1066 BP Amsterdam Netherlands,52.3466449,4.8310984
George Gershwinlaan 101 Zuideramstel 1082 MT Amsterdam Netherlands,52.3357326,4.8743947
Nieuwe Doelenstraat 2 14 Amsterdam City Center 1012 CP Amsterdam Netherlands,52.3678779,4.8948936
Prinsengracht 444 Amsterdam City Center 1017 KE Amsterdam Netherlands,52.364971,4.8839827
Oosterdoksstraat 4 Amsterdam City Center 1011 DK Amsterdam Netherlands,52.376752,4.904618
Ndsm Plein 28 Amsterdam Noord 1033 WB Amsterdam Netherlands,52.4001813,4.8936653
John M Keynesplein 2 Slotervaart 1066 EP Amsterdam Netherlands,52.3417894,4.824952
Arend Janszoon Ernststraat 577 Zuideramstel 1082 LD Amsterdam Netherlands,52.3312406,4.8774466
Schepenbergweg 50 Zuidoost 1105 AT Amsterdam Netherlands,52.2924567,4.9444338
Provincialeweg 38 Zuidoost 1108 AB Amsterdam Netherlands,52.3154533,4.9962997
Molenwerf 1 1014 AG Amsterdam Netherlands,52.385601,4.8470597
Prins Hendrikkade 108 Amsterdam City Center 1011 AK Amsterdam Netherlands,52.3744149,4.9041443
Eerste Constantijn Huygensstraat 10A Oud West 1054 BR Amsterdam Netherlands,52.36513,4.8729422
