Review_Positivity_Rate,Review_Total_Negative_Word_Counts,Review_Total_Positive_Word_Counts
100,0,7
60.8696,9,14
100,0,94
100,0,6
100,0,39
100,0,12
26.9231,19,7
55.2632,34,42
50,4,4
0,5,0
66.6667,8,16
36.7347,31,18
50,3,3
100,0,27
27.2727,24,9
52.6316,9,10
51.8519,13,14
30.6122,34,15
59.322,24,35
100,0,21
25,12,4
100,0,14
100,0,16
100,0,15
41.6667,21,15
15.2542,50,9
100,0,78
36.3636,7,4
76.9231,3,10
48.1481,28,26
100,0,36
57.1429,24,32
100,0,22
62.5,6,10
100,0,48
59.0164,25,36
11.5385,46,6
58.3333,10,14
50,2,2
39.1892,45,29
69.2308,12,27
100,0,19
23.2558,33,10
100,0,37
47.619,11,10
100,0,18
32.2581,42,20
4.83871,59,3
0,22,0
86.6667,2,13
70,6,14
83.3333,7,35
0,24,0
28.5714,45,18
100,0,53
0,3,0
100,0,8
100,0,5
70.6667,22,53
25,9,3
54.5455,15,18
29.8246,40,17
100,0,10
0,9,0
42.1053,22,16
60,4,6
41.1765,10,7
70,3,7
37.5,25,15
0,8,0
83.3333,2,10
56.25,7,9
47.2727,29,26
82.1429,5,23
33.7838,49,25
42.4528,61,45
0,10,0
73.3333,4,11
100,0,17
17.3077,43,9
11.7647,15,2
72.7273,3,8
58.8235,7,10
19.5652,37,9
36.5854,26,15
80,2,8
36.3636,56,32
30.9091,38,17
59.6154,21,31
60.7143,11,17
0,15,0
100,0,11
27.7778,13,5
17.1875,106,22
34.7826,15,8
100,0,63
76.5957,11,36
60,12,18
21.0526,30,8
100,0,4
27.027,27,10
47.2973,39,35
97.8022,2,89
0,19,0
33.3333,10,5
60,8,12
58.1395,18,25
82.1918,26,120
100,0,13
100,0,3
44.4444,15,12
18.1818,36,8
100,0,26
9.52381,19,2
22.5806,24,7
34.8837,28,15
59.375,13,19
14.6341,35,6
7.05882,79,6
41.8605,50,36
14.7059,87,15
31.8182,30,14
25,15,5
58.3333,5,7
45.4545,6,5
0,26,0
50,5,5
16.4384,61,12
28,18,7
38.0952,13,8
13.3333,52,8
38.4615,8,5
41.6667,14,10
78.9474,4,15
100,0,31
71.7391,13,33
27.6596,34,13
77.7778,4,14
64,18,32
69.5652,14,32
55.5556,8,10
16.6667,10,2
19.0476,34,8
50,6,6
74.0741,7,20
81.5789,7,31
43.9024,23,18
0,39,0
40,15,10
91.6667,2,22
39.3939,40,26
21.4286,22,6
100,0,29
0,2,0
26.087,17,6
20.9302,34,9
29.5082,43,18
14.8148,23,4
76.4706,12,39
35.4167,31,17
34.2857,23,12
100,0,28
37.8378,23,14
88.8889,2,16
56.7901,35,46
13.0435,40,6
17.2414,24,5
60.7843,20,31
100,0,33
19.0476,85,20
21.1268,56,15
51.3514,18,19
28.5714,35,14
100,0,42
69.2308,4,9
42.8571,12,9
100,0,24
12,22,3
66.6667,9,18
100,0,35
1.5544,190,3
80,5,20
28.5714,5,2
22.3529,66,19
19.2308,21,5
35.1351,24,13
4.54545,84,4
34.375,21,11
1.75439,112,2
37.5,15,9
19.7368,61,15
3.94737,73,3
12.5,14,2
36.8421,12,7
48.3871,16,15
72.2222,5,13
68.9655,9,20
65.5172,20,38
100,0,54
59.0909,9,13
51.1111,44,46
8.33333,44,4
24.3243,28,9
100,0,30
100,0,9
21.9178,57,16
59.6491,23,34
36.3636,21,12
11.9048,37,5
71.4286,2,5
15.3846,22,4
72.4138,8,21
32.8947,51,25
0,18,0
16.6667,15,3
95.3846,3,62
20,8,2
37.931,18,11
8.82353,31,3
52.9412,8,9
30,7,3
100,0,40
32.2581,21,10
46.1538,7,6
66.6667,11,22
25.6881,81,28
0,59,0
0,11,0
71.9298,16,41
79.0698,9,34
27.2727,8,3
73.913,12,34
0,4,0
25.2101,89,30
0,29,0
16,42,8
33.5616,97,49
42.8571,20,15
43.75,9,7
35.7143,9,5
0,97,0
10.6918,284,34
25.8065,46,16
31.7073,28,13
48.2517,74,69
0,32,0
78.3784,8,29
82.0513,7,32
18.75,26,6
25,51,17
97.5,2,78
21.7391,54,15
66.6667,5,10
35.4839,20,11
35.2941,11,6
40,30,20
57.8947,8,11
32.5,27,13
37.5,20,12
76.1905,5,16
88,3,22
13.5802,70,11
43.75,18,14
47.5,21,19
100,0,56
32.6087,31,15
35.2113,46,25
25.5319,35,12
13.3333,78,12
20,12,3
38.8889,11,7
44.4444,10,8
37.1429,22,13
42.8571,8,6
100,0,2
87.0968,4,27
3.8961,74,3
40,6,4
62.5,9,15
75.5102,12,37
30.7692,18,8
12.9032,54,8
52.381,40,44
63.8554,30,53
69.2308,16,36
